comK	comK	1	1	1	1
comK	spoIIID	-1	-1	1	0.999
gerE	gerE	1	1	1	0.998
gerR	gerR	1	1	1	0.998
gin	gin	1	1	1	1
phoP	phoP	1	1	1	1
rsfA	scoC	-1	-1	1	0.997
sinR	sinR	1	1	1	1
spo0A	spo0A	1	1	1	1
spoIIID	spoIIID	1	1	1	1
spoVT	spoVT	1	1	1	1
sigB	yfmP	1	1	1	1
sigD	sigD	1	1	1	1
sigW	sigW	1	1	1	0.999
